Name,Damage,Weight,Gold,Upgrade,Perk,Type,Category,Speed
Ancient Nord Battle Axe,18,22,28,Steel Ingot,Steel,Battleaxe,Two-Handed,
Daedric Battleaxe,25,27,2750,Ebony Ingot,Daedric,Battleaxe,Two-Handed,
Dragonbone Battleaxe ,26,30,3000,Dragon Bone,Dragon,Battleaxe,Two-Handed,
Drainblood Battleaxe,21,5,266,,-,Battleaxe,Two-Handed,
Dwarven Battleaxe,20,23,300,Dwarven Metal Ingot,Dwarven,Battleaxe,Two-Handed,
Ebony Battleaxe,23,26,1585,Ebony Ingot,Ebony,Battleaxe,Two-Handed,
Elven Battleaxe,21,24,520,Refined Moonstone,Elven,Battleaxe,Two-Handed,
Glass Battleaxe,22,25,900,Refined Malachite,Glass,Battleaxe,Two-Handed,
Headsman's Axe,17,11,15,,-,Battleaxe,Two-Handed,
Honed Ancient Nord Battle Axe,21,25,50,Steel Ingot,Dwarven,Battleaxe,Two-Handed,
Iron Battleaxe,16,20,55,Iron Ingot,None,Battleaxe,Two-Handed,
Nord Hero Battle Axe,21,20,300,Steel Ingot,Steel,Battleaxe,Two-Handed,
Nordic Battleaxe DR,21,23,650,Quicksilver Ingot,Advanced,Battleaxe,Two-Handed,
Orcish Battleaxe,19,25,165,Orichalcum Ingot,Orcish,Battleaxe,Two-Handed,
Skyforge Steel Battleaxe,21,21,150,Steel Ingot,Steel,Battleaxe,Two-Handed,
Stalhrim Battleaxe ,24,25,2150,Stalhrim,Ebony,Battleaxe,Two-Handed,
Steel Battleaxe of Fiery Souls,18,21,320,Steel Ingot,Steel,Battleaxe,Two-Handed,
Steel Battleaxe,18,21,100,Steel Ingot,Steel,Battleaxe,Two-Handed,
Rueful Axe,22,10,1183,Ebony Ingot,None,Battleaxe,Two-Handed,
The Woodsman's Friend,17,20,28,,-,Battleaxe,Two-Handed,
Tsun's Battleaxe,27,36,1000,,-,Battleaxe,Two-Handed,
Wuuthrad,25,25,2000,,-,Battleaxe,Two-Handed,
Alessandra's Dagger,5,1,10,N/A,-,Dagger,One-Handed,
Blade of Woe,12,7,880,None required,Steel,Dagger,One-Handed,
Blade of Sacrifice,10,4,144,Ebony Ingot,None,Dagger,One-Handed,
Bloodthorn,8,2.5,183,Steel Ingot,Steel,Dagger,One-Handed,
Borvir's Dagger,8,4,18,Refined Moonstone,Elven,Dagger,One-Handed,
Daedric Dagger,11,6,500,Ebony Ingot,Daedric,Dagger,One-Handed,
Dragonbone Dagger ,12,6.5,600,Dragon Bone,Dragon,Dagger,One-Handed,
Dragon Priest Dagger,6,5,9,N/A,-,Dagger,One-Handed,
Dwarven Dagger,7,3.5,55,Dwarven Metal Ingot,Dwarven,Dagger,One-Handed,
Ebony Dagger,10,5,290,Ebony Ingot,Ebony,Dagger,One-Handed,
Elven Dagger,8,4,95,Refined Moonstone,Elven,Dagger,One-Handed,
Glass Dagger,9,4.5,165,Refined Malachite,Glass,Dagger,One-Handed,
Iron Dagger,4,2,10,Iron Ingot,None,Dagger,One-Handed,
Kahvozein's Fang,6,5,9,N/A,-,Dagger,One-Handed,
Keening,8,4,5,N/A,-,Dagger,One-Handed,
Mehrunes' Razor,11,3,860,Ebony Ingot,None,Dagger,One-Handed,
Nettlebane,6,10,5,Ebony Ingot,None,Dagger,One-Handed,
Nordic Dagger ,8,3.5,115,Quicksilver Ingot,Advanced,Dagger,One-Handed,
